ville,quartier,type_bien,etat,superficie,chambres,salles_bain,etage,age,ascenseur,parking,piscine,jardin,securite,prix,prix_m2,date_mise_en_vente
Agadir,Talborjt,Terrain,Bon état,527,0,0,0,35,False,True,False,False,True,2346771,4453,2024-12-11
Marrakech,Gueliz,Riad,Bon état,237,3,3,0,16,False,True,True,True,True,1146883,4839,2024-09-16
Oujda,Hay El Qods,Maison,Neuf,242,3,2,0,0,False,True,False,True,False,2274744,9399,2024-10-11
Marrakech,Amerchich,Terrain,À rénover,645,0,0,0,28,False,True,False,False,True,1578195,2446,2024-11-10
Tanger,Centre Ville,Terrain,En construction,1604,0,0,0,0,False,False,False,False,True,8047213,5016,2024-10-01
Meknès,Plaisance,Terrain,Neuf,583,0,0,0,0,False,True,False,False,False,3785545,6493,2025-01-19
Rabat,Souissi,Appartement,En construction,149,6,3,5,0,False,False,False,False,False,1385970,9301,2025-03-03
Casablanca,Anfa,Terrain,Bon état,353,0,0,0,35,False,True,False,False,True,2097770,5942,2024-10-17
Meknès,Plaisance,Riad,Bon état,287,2,2,0,15,False,True,True,True,True,1168508,4071,2024-09-16
Casablanca,Gauthier,Riad,En construction,174,5,3,0,0,False,True,True,True,True,2200515,12646,2025-02-21
Tanger,Cap Spartel,Maison,Bon état,179,3,2,0,19,False,True,False,True,False,904084,5050,2024-10-26
Agadir,Centre,Local commercial,Neuf,50,0,0,0,0,False,False,False,False,True,519737,10394,2024-09-14
Meknès,Hamria,Riad,En construction,348,4,2,0,0,False,True,False,True,True,2646312,7604,2024-10-19
Casablanca,Bourgogne,Appartement,Neuf,151,4,1,10,0,False,False,False,False,True,2948608,19527,2025-01-04
Marrakech,Hivernage,Terrain,À rénover,825,0,0,0,47,False,False,False,False,False,2520977,3055,2024-11-23
Casablanca,Racine,Maison,À rénover,298,3,3,0,12,False,False,False,True,True,2879469,9662,2024-10-01
Fès,Route Immouzer,Riad,Bon état,143,6,1,0,28,False,True,True,True,True,779159,5448,2025-02-22
Oujda,Angad,Terrain,À rénover,885,0,0,0,37,False,False,False,False,True,1142504,1290,2024-09-18
Tanger,Malabata,Terrain,Neuf,349,0,0,0,0,False,False,False,False,False,3047254,8731,2025-01-19
Fès,Atlas,Appartement,À rénover,172,5,2,14,11,True,False,False,False,False,851388,4949,2024-12-31
Casablanca,CIL,Appartement,Bon état,91,5,4,9,18,True,True,False,False,True,1150949,12647,2024-09-27
Tanger,Boukhalef,Villa,Bon état,282,1,1,0,36,False,False,True,True,True,2279697,8084,2025-01-05
Oujda,Angad,Villa,À rénover,204,1,1,0,48,True,False,False,True,True,566749,2778,2024-09-20
Meknès,Centre Ville,Local commercial,Neuf,349,0,0,0,0,False,True,False,False,False,2266057,6493,2024-10-20
Oujda,Centre Ville,Maison,Neuf,186,6,1,0,0,False,True,False,False,True,1262044,6785,2024-10-16
Tanger,Malabata,Villa,En construction,418,6,1,0,0,False,False,False,True,True,4445582,10635,2025-01-21
Oujda,Angad,Terrain,Bon état,1951,0,0,0,13,False,False,False,False,False,9454965,4846,2024-11-17
Oujda,Centre Ville,Appartement,Bon état,169,2,1,9,37,True,True,False,True,True,846077,5006,2024-12-28
Oujda,Hay El Qods,Terrain,À rénover,903,0,0,0,6,False,False,False,False,True,1841277,2039,2025-01-03
Agadir,Talborjt,Terrain,À rénover,571,0,0,0,13,False,False,False,False,True,1706355,2988,2024-12-25
Fès,Route Immouzer,Appartement,À rénover,51,2,2,14,48,False,False,False,False,True,75127,1473,2024-11-23
Oujda,Centre Ville,Appartement,En construction,48,3,3,1,0,False,True,True,False,True,240697,5014,2024-09-23
Marrakech,Palmeraie,Maison,Bon état,277,2,2,0,32,False,True,False,False,True,1482814,5353,2024-09-09
Meknès,Hamria,Maison,En construction,98,2,2,0,0,False,True,False,False,True,458407,4677,2024-10-16
Tanger,Centre Ville,Maison,Bon état,167,6,3,0,7,False,True,False,True,True,1352039,8096,2025-02-10
Rabat,Agdal,Maison,Neuf,92,2,2,0,0,False,True,False,True,True,1307399,14210,2024-12-28
Marrakech,Hivernage,Riad,Bon état,177,2,2,0,39,False,True,False,False,False,1484353,8386,2024-12-27
Agadir,Sonaba,Appartement,Neuf,50,2,2,11,0,False,True,False,False,True,628344,12566,2025-01-22
Marrakech,Palmeraie,Terrain,Bon état,1054,0,0,0,35,False,False,False,False,True,4308467,4087,2024-10-28
Meknès,Plaisance,Local commercial,À rénover,247,0,0,0,7,False,False,False,False,True,1574903,6376,2024-09-20
Rabat,Hassan,Appartement,En construction,118,1,1,11,0,True,False,False,False,True,1380667,11700,2025-02-14
Rabat,Souissi,Riad,À rénover,391,1,1,0,29,False,True,True,True,False,1904465,4870,2024-12-30
Meknès,Marjane,Riad,En construction,252,6,2,0,0,False,True,True,True,False,1960096,7778,2024-09-21
Marrakech,Gueliz,Local commercial,Bon état,217,0,0,0,25,False,True,False,False,False,1034552,4767,2024-12-05
Rabat,Hay Riad,Villa,Neuf,236,1,1,0,0,False,False,False,True,False,2832788,12003,2025-02-11
Rabat,Souissi,Local commercial,En construction,261,0,0,0,0,False,False,False,False,True,3625543,13890,2024-12-24
Fès,Atlas,Appartement,À rénover,143,1,1,10,30,True,False,False,False,True,424990,2971,2025-01-24
Fès,Ville Nouvelle,Maison,Neuf,261,3,2,0,0,False,False,False,True,True,2693063,10318,2025-01-12
Marrakech,Amerchich,Local commercial,À rénover,295,0,0,0,44,False,True,False,False,False,2237625,7585,2024-09-24
Meknès,Hamria,Appartement,Neuf,92,5,1,6,0,False,False,False,False,False,684898,7444,2024-11-08
Tanger,Boukhalef,Terrain,À rénover,532,0,0,0,35,False,False,False,False,True,1518985,2855,2024-11-14
Oujda,Hay Essalam,Local commercial,À rénover,70,0,0,0,37,False,True,False,False,False,224096,3201,2025-01-28
Meknès,Marjane,Terrain,Bon état,1527,0,0,0,31,False,True,False,False,True,5704429,3735,2024-09-30
Agadir,Centre,Appartement,À rénover,166,6,4,4,46,True,True,False,False,False,493774,2974,2025-02-02
Meknès,Marjane,Local commercial,À rénover,471,0,0,0,46,False,True,False,False,True,956421,2030,2024-10-03
Marrakech,Palmeraie,Local commercial,À rénover,145,0,0,0,34,False,False,False,False,True,1150321,7933,2024-09-26
Meknès,Hamria,Riad,Bon état,129,4,3,0,26,False,True,True,True,True,588076,4558,2024-11-20
Marrakech,Amerchich,Riad,En construction,139,2,2,0,0,False,True,True,True,True,2524514,18161,2025-02-15
Marrakech,Palmeraie,Appartement,À rénover,82,6,3,6,9,True,True,False,False,True,514277,6271,2024-09-20
Casablanca,Racine,Terrain,À rénover,1350,0,0,0,38,False,False,False,False,True,6848739,5073,2024-10-30
Fès,Atlas,Terrain,Neuf,1026,0,0,0,0,False,True,False,False,False,10057320,9802,2024-11-12
Marrakech,Gueliz,Maison,À rénover,258,6,2,0,38,False,True,False,True,False,861217,3338,2025-01-12
Meknès,Marjane,Appartement,Neuf,106,5,2,10,0,True,True,False,False,False,796498,7514,2024-10-18
Casablanca,Ain Diab,Appartement,Neuf,94,6,1,5,0,False,True,True,False,True,1258666,13390,2024-12-14
Tanger,Boukhalef,Riad,Bon état,180,3,2,0,39,True,False,False,True,True,1193922,6632,2024-09-22
Rabat,Hay Riad,Local commercial,En construction,328,0,0,0,0,False,False,False,False,True,3985624,12151,2025-01-08
Meknès,Hamria,Villa,Bon état,300,4,1,0,24,False,True,True,True,True,1939405,6464,2024-10-21
Meknès,Centre Ville,Local commercial,À rénover,157,0,0,0,1,False,False,False,False,False,1036876,6604,2025-01-29
Meknès,Plaisance,Local commercial,En construction,386,0,0,0,0,False,False,False,False,True,3513991,9103,2024-09-19
Casablanca,Anfa,Local commercial,En construction,153,0,0,0,0,False,True,False,False,True,2564522,16761,2025-01-24
Agadir,Founty,Maison,À rénover,230,5,2,0,32,False,False,False,True,True,829076,3604,2025-01-29
Tanger,Boukhalef,Maison,Bon état,90,4,1,0,36,False,True,False,True,False,636216,7069,2025-02-12
Agadir,Centre,Appartement,À rénover,118,3,1,10,22,False,True,False,False,True,599085,5076,2024-09-22
Marrakech,Palmeraie,Maison,À rénover,270,1,1,0,30,False,False,False,True,True,1080158,4000,2024-10-27
Oujda,Hay El Qods,Terrain,Neuf,1774,0,0,0,0,False,True,False,False,True,11796895,6649,2024-10-25
Casablanca,Bourgogne,Terrain,Bon état,419,0,0,0,41,False,True,False,False,False,1995706,4763,2025-02-28
Casablanca,Ain Diab,Local commercial,À rénover,478,0,0,0,18,False,False,False,False,False,3890359,8138,2025-02-10
Fès,Route Immouzer,Terrain,Bon état,1782,0,0,0,24,False,True,False,False,False,8231487,4619,2024-10-08
Marrakech,Gueliz,Local commercial,En construction,379,0,0,0,0,False,False,False,False,True,4681448,12352,2025-02-02
Tanger,Cap Spartel,Terrain,En construction,954,0,0,0,0,False,False,False,False,True,5918835,6204,2025-01-13
Oujda,Hay Essalam,Local commercial,Neuf,368,0,0,0,0,False,True,False,False,True,2031793,5521,2024-11-15
Oujda,Angad,Appartement,Bon état,103,5,3,10,5,True,False,True,False,False,591839,5746,2024-12-12
Meknès,Centre Ville,Riad,Bon état,389,6,2,0,11,False,False,True,True,True,2937784,7552,2024-12-04
Fès,Atlas,Appartement,En construction,130,1,1,14,0,True,True,False,False,True,1003285,7717,2025-03-02
Tanger,Centre Ville,Terrain,En construction,1596,0,0,0,0,False,True,False,False,True,9526045,5968,2025-01-19
Marrakech,Gueliz,Villa,Bon état,447,3,3,0,33,False,False,True,True,True,4155181,9295,2024-11-04
Oujda,Centre Ville,Riad,À rénover,196,3,3,0,6,False,True,True,True,False,654684,3340,2024-12-05
Fès,Médina,Local commercial,Bon état,221,0,0,0,15,False,False,False,False,True,1620107,7330,2024-10-31
Casablanca,Gauthier,Terrain,En construction,1695,0,0,0,0,False,True,False,False,True,7696687,4540,2024-11-16
Tanger,Cap Spartel,Terrain,Bon état,239,0,0,0,5,False,True,False,False,True,1278162,5347,2024-11-07
Agadir,Talborjt,Maison,À rénover,293,4,4,0,38,False,False,False,True,True,1160376,3960,2025-01-01
Marrakech,Hivernage,Villa,À rénover,498,6,1,0,4,False,True,True,True,False,3690084,7409,2024-11-14
Fès,Médina,Terrain,À rénover,1263,0,0,0,43,False,True,False,False,True,3339299,2643,2025-03-06
Agadir,Centre,Villa,Neuf,405,2,2,0,0,False,True,True,True,False,4625679,11421,2024-09-20
Tanger,Centre Ville,Maison,En construction,272,3,2,0,0,False,True,False,True,True,2935615,10792,2024-09-17
Oujda,Centre Ville,Appartement,Bon état,141,2,2,8,11,False,True,False,False,False,944533,6698,2024-11-16
Fès,Médina,Villa,Bon état,273,3,3,0,28,False,False,True,True,True,2321973,8505,2024-09-14
Fès,Atlas,Terrain,À rénover,1307,0,0,0,48,False,False,False,False,True,3165519,2421,2024-10-26
Agadir,Centre,Terrain,Neuf,1183,0,0,0,0,False,True,False,False,False,8580443,7253,2025-01-27
Agadir,Sonaba,Riad,Bon état,381,6,3,0,6,False,False,True,True,True,3004619,7886,2025-02-12
Marrakech,Palmeraie,Riad,Bon état,257,4,4,0,16,False,True,False,True,True,3463394,13476,2024-12-14
Tanger,Centre Ville,Local commercial,Neuf,328,0,0,0,0,False,True,False,False,True,3876314,11818,2025-01-31
Meknès,Centre Ville,Maison,À rénover,178,6,1,0,49,True,True,False,False,True,711015,3994,2024-11-04
Fès,Route Immouzer,Maison,En construction,238,4,1,0,0,False,True,False,False,True,1621736,6814,2025-01-13
Rabat,Agdal,Riad,En construction,281,5,4,0,0,False,True,True,True,True,3651973,12996,2025-01-09
Fès,Atlas,Local commercial,À rénover,208,0,0,0,11,False,True,False,False,True,906024,4355,2024-09-20
Marrakech,Hivernage,Riad,À rénover,323,6,4,0,2,False,True,False,True,True,3265172,10108,2024-11-13
Agadir,Talborjt,Appartement,Neuf,157,3,1,14,0,True,True,False,False,True,1622522,10334,2024-10-22
Oujda,Angad,Local commercial,En construction,198,0,0,0,0,False,False,False,False,False,1621244,8188,2024-12-10
Tanger,Malabata,Villa,Neuf,453,4,4,0,0,False,True,True,True,True,5355917,11823,2025-02-04
Rabat,Hassan,Maison,En construction,89,3,2,0,0,False,False,False,False,True,797082,8955,2025-01-16
Fès,Route Immouzer,Appartement,À rénover,165,6,3,6,6,True,False,False,False,True,708143,4291,2025-02-24
Oujda,Centre Ville,Appartement,En construction,119,1,1,1,0,False,False,False,False,False,841382,7070,2024-12-14
Agadir,Centre,Appartement,Neuf,183,3,3,2,0,False,True,False,False,True,1700693,9293,2024-12-28
Rabat,Hassan,Appartement,Neuf,144,4,1,2,0,False,True,False,False,False,1787920,12416,2024-09-20
Rabat,Souissi,Terrain,Neuf,328,0,0,0,0,False,True,False,False,True,3165104,9649,2025-01-14
Oujda,Hay Essalam,Maison,En construction,166,5,2,0,0,False,False,False,True,False,1341607,8081,2025-01-17
Oujda,Hay Essalam,Villa,En construction,187,4,3,0,0,False,True,False,True,True,1092267,5841,2024-12-24
Fès,Ville Nouvelle,Terrain,À rénover,1063,0,0,0,41,False,True,False,False,True,1934180,1819,2025-02-24
Casablanca,Anfa,Terrain,À rénover,239,0,0,0,8,False,True,False,False,True,1694839,7091,2024-09-09
Rabat,Les Orangers,Riad,À rénover,377,2,2,0,44,False,False,True,True,False,1368009,3628,2025-02-21
Marrakech,Amerchich,Riad,Neuf,347,5,3,0,0,False,False,True,True,True,2667474,7687,2024-12-04
Tanger,Malabata,Appartement,En construction,173,2,2,4,0,True,False,False,False,True,1743454,10077,2025-02-11
Agadir,Talborjt,Appartement,À rénover,80,1,1,8,48,False,True,False,False,True,197809,2472,2024-09-18
Marrakech,Hivernage,Maison,Bon état,159,5,4,0,18,False,False,False,True,True,1453483,9141,2025-01-07
Oujda,Hay El Qods,Villa,À rénover,425,4,3,0,10,False,True,True,True,False,1923393,4525,2025-02-20
Agadir,Centre,Terrain,À rénover,280,0,0,0,18,False,True,False,False,True,1273975,4549,2024-09-23
Oujda,Centre Ville,Terrain,En construction,1069,0,0,0,0,False,False,False,False,False,5961071,5576,2025-01-30
Rabat,Hassan,Maison,En construction,219,2,2,0,0,False,False,False,True,True,2458581,11226,2025-01-18
Tanger,Cap Spartel,Appartement,À rénover,193,5,2,13,6,True,True,False,False,False,1112837,5765,2024-12-05
Meknès,Centre Ville,Terrain,Neuf,820,0,0,0,0,False,False,False,False,True,4979077,6072,2024-11-23
Marrakech,Palmeraie,Local commercial,À rénover,469,0,0,0,18,False,True,False,False,False,3915679,8348,2024-10-14
Casablanca,Maarif,Maison,Neuf,195,6,2,0,0,False,True,True,True,False,1868335,9581,2024-10-04
Tanger,Cap Spartel,Local commercial,Neuf,175,0,0,0,0,False,False,False,False,True,2729382,15596,2024-09-18
Tanger,Boukhalef,Villa,À rénover,418,3,2,0,36,False,True,True,False,True,1823406,4362,2024-12-16
Oujda,Angad,Local commercial,À rénover,353,0,0,0,35,False,True,False,False,True,999931,2832,2024-12-22
Agadir,Founty,Local commercial,À rénover,366,0,0,0,8,False,True,False,False,True,1765820,4824,2025-02-13
Rabat,Hassan,Villa,Neuf,169,5,4,0,0,False,True,True,True,True,2518925,14904,2025-01-06
Tanger,Cap Spartel,Riad,À rénover,192,4,1,0,34,False,True,True,True,True,1364847,7108,2025-01-15
Fès,Atlas,Local commercial,Neuf,485,0,0,0,0,False,True,False,False,True,6336283,13064,2025-02-08
Tanger,Centre Ville,Riad,En construction,314,2,1,0,0,False,True,False,False,False,3367406,10724,2024-11-01
Fès,Médina,Terrain,À rénover,777,0,0,0,12,False,True,False,False,False,2471340,3180,2024-10-10
Meknès,Hamria,Appartement,En construction,50,3,2,2,0,False,True,True,True,True,270909,5418,2024-12-03
Oujda,Hay Essalam,Villa,En construction,447,3,3,0,0,False,True,True,True,False,2661374,5953,2024-10-12
Marrakech,Gueliz,Villa,Neuf,357,3,3,0,0,True,False,True,True,True,4354296,12196,2024-11-23
Meknès,Hamria,Villa,Neuf,475,4,3,0,0,False,False,True,True,False,5463024,11501,2024-12-04
Meknès,Centre Ville,Terrain,À rénover,1257,0,0,0,30,False,False,False,False,True,2561670,2037,2024-12-16
Agadir,Sonaba,Terrain,Neuf,668,0,0,0,0,False,True,False,False,True,4829521,7229,2025-01-16
Meknès,Centre Ville,Local commercial,En construction,441,0,0,0,0,False,True,False,False,False,3402993,7716,2024-10-03
Agadir,Founty,Local commercial,En construction,241,0,0,0,0,False,True,False,False,True,1675500,6952,2024-12-01
Casablanca,Bourgogne,Villa,Neuf,306,6,2,0,0,False,False,True,False,False,6774859,22140,2024-10-24
Oujda,Hay Essalam,Villa,Bon état,397,2,2,0,19,False,False,True,True,True,3098894,7805,2024-12-15
Meknès,Hamria,Riad,En construction,325,1,1,0,0,False,True,True,True,True,1951348,6004,2025-01-30
Casablanca,Ain Diab,Villa,Neuf,440,6,1,0,0,False,False,True,True,True,9307195,21152,2025-01-12
Agadir,Talborjt,Villa,À rénover,359,6,2,0,25,False,True,True,True,True,1160820,3233,2024-09-11
Agadir,Talborjt,Riad,À rénover,154,6,3,0,28,False,True,True,False,True,802634,5211,2025-01-13
Oujda,Hay El Qods,Local commercial,Bon état,282,0,0,0,20,False,True,False,False,True,1342587,4760,2025-01-05
Oujda,Hay Essalam,Terrain,Bon état,1027,0,0,0,19,False,True,False,False,True,4267089,4154,2024-11-06
Fès,Ville Nouvelle,Local commercial,À rénover,122,0,0,0,33,False,True,False,False,True,521908,4277,2024-11-23
Marrakech,Hivernage,Terrain,Bon état,1778,0,0,0,41,False,False,False,False,True,7368511,4144,2024-12-27
Tanger,Centre Ville,Local commercial,À rénover,301,0,0,0,33,False,True,False,False,False,1506884,5006,2025-01-21
Casablanca,Bourgogne,Terrain,Neuf,258,0,0,0,0,False,True,False,False,False,2455627,9517,2024-11-09
Oujda,Centre Ville,Terrain,Neuf,1253,0,0,0,0,False,False,False,False,False,8095373,6460,2025-02-23
Marrakech,Hivernage,Local commercial,À rénover,352,0,0,0,9,False,True,False,False,True,1214942,3451,2024-09-20
Meknès,Plaisance,Appartement,Neuf,104,2,2,5,0,False,True,True,False,False,1009766,9709,2025-01-02
Meknès,Centre Ville,Terrain,À rénover,1230,0,0,0,2,False,True,False,False,True,5726104,4655,2025-01-05
Agadir,Centre,Villa,En construction,161,4,4,0,0,False,True,True,True,True,1706050,10596,2024-10-11
Marrakech,Hivernage,Villa,À rénover,382,5,2,0,46,False,True,False,True,True,1580838,4138,2025-02-28
Meknès,Marjane,Riad,À rénover,128,1,1,0,36,False,True,True,True,False,379907,2968,2025-02-05
Marrakech,Hivernage,Maison,À rénover,239,6,3,0,12,False,True,False,True,True,1394590,5835,2024-10-09
Marrakech,Gueliz,Local commercial,Neuf,385,0,0,0,0,False,True,False,False,False,1898424,4930,2024-10-07
Meknès,Marjane,Maison,Neuf,257,4,2,0,0,False,True,False,True,True,3249371,12643,2024-10-14
Fès,Médina,Local commercial,À rénover,304,0,0,0,7,False,False,False,False,True,1927673,6341,2024-12-22
Marrakech,Médina,Appartement,Bon état,76,1,1,12,26,True,True,False,False,False,602082,7922,2025-03-01
Tanger,Centre Ville,Appartement,Neuf,50,4,1,4,0,False,True,False,False,False,323726,6474,2024-09-08
Oujda,Hay Essalam,Maison,À rénover,179,1,1,0,48,False,True,False,True,False,260087,1453,2025-02-21
Rabat,Hay Riad,Villa,Neuf,181,6,3,0,0,False,True,True,True,False,2866486,15836,2024-12-14
Meknès,Plaisance,Maison,Neuf,288,6,3,0,0,False,True,False,True,False,2200115,7639,2024-10-08
Oujda,Hay El Qods,Appartement,Neuf,145,1,1,5,0,True,True,True,False,True,1053709,7266,2025-03-03
Agadir,Talborjt,Riad,Neuf,243,2,2,0,0,False,True,True,True,True,2823280,11618,2025-02-16
Fès,Ville Nouvelle,Appartement,Neuf,183,5,1,5,0,False,True,False,False,False,1562954,8540,2024-10-31
Casablanca,Racine,Local commercial,En construction,422,0,0,0,0,False,True,False,False,True,7618484,18053,2024-10-25
Oujda,Hay Essalam,Appartement,Bon état,103,4,4,4,13,False,True,False,False,False,748641,7268,2024-09-09
Rabat,Hassan,Villa,Bon état,268,6,1,0,16,False,True,True,True,True,3215106,11996,2024-10-18
